Id,County,State
1,Autauga County,Alabama
2,Baldwin County,Alabama
3,Barbour County,Alabama
4,Bibb County,Alabama
5,Blount County,Alabama
6,Bullock County,Alabama
7,Butler County,Alabama
8,Calhoun County,Alabama
9,Chambers County,Alabama
10,Cherokee County,Alabama
11,Chilton County,Alabama
12,Choctaw County,Alabama
13,Clarke County,Alabama
14,Clay County,Alabama
15,Cleburne County,Alabama
16,Coffee County,Alabama
17,Colbert County,Alabama
18,Conecuh County,Alabama
19,Coosa County,Alabama
20,Covington County,Alabama
21,Crenshaw County,Alabama
22,Cullman County,Alabama
23,Dale County,Alabama
24,Dallas County,Alabama
25,DeKalb County,Alabama
26,Elmore County,Alabama
27,Escambia County,Alabama
28,Etowah County,Alabama
29,Fayette County,Alabama
30,Franklin County,Alabama
31,Geneva County,Alabama
32,Greene County,Alabama
33,Hale County,Alabama
34,Henry County,Alabama
35,Houston County,Alabama
36,Jackson County,Alabama
37,Jefferson County,Alabama
38,Lamar County,Alabama
39,Lauderdale County,Alabama
40,Lawrence County,Alabama
41,Lee County,Alabama
42,Limestone County,Alabama
43,Lowndes County,Alabama
44,Macon County,Alabama
45,Madison County,Alabama
46,Marengo County,Alabama
47,Marion County,Alabama
48,Marshall County,Alabama
49,Mobile County,Alabama
50,Monroe County,Alabama
51,Montgomery County,Alabama
52,Morgan County,Alabama
53,Perry County,Alabama
54,Pickens County,Alabama
55,Pike County,Alabama
56,Randolph County,Alabama
57,Russell County,Alabama
58,St. Clair County,Alabama
59,Shelby County,Alabama
60,Sumter County,Alabama
61,Talladega County,Alabama
62,Tallapoosa County,Alabama
63,Tuscaloosa County,Alabama
64,Walker County,Alabama
65,Washington County,Alabama
66,Wilcox County,Alabama
67,Winston County,Alabama
68,Aleutians West County,Alaska
69,Aleutians East County,Alaska
70,Anchorage County,Alaska
71,Bethel County,Alaska
72,Bristol Bay County,Alaska
73,Dillingham County,Alaska
74,Fairbanks North Star County,Alaska
75,Haines County,Alaska
76,Juneau County,Alaska
77,Kenai Peninsula County,Alaska
78,Ketchikan Gateway County,Alaska
79,Lake and Peninsula County,Alaska
80,Kodiak Island County,Alaska
81,Matanuska-Susitna County,Alaska
82,Nome County,Alaska
83,North Slope County,Alaska
84,Northwest Arctic County,Alaska
85,Prince of Wales-Outer Ketchikan County,Alaska
86,Sitka County,Alaska
87,Skagway-Yakutat-Angoon County,Alaska
88,Southeast Fairbanks County,Alaska
89,Valdez-Cordova County,Alaska
90,Wade Hampton County,Alaska
91,Wrangell-Petersburg County,Alaska
92,Yukon-Koyukuk County,Alaska
93,Apache County,Arizona
94,Cochise County,Arizona
95,Coconino County,Arizona
96,Gila County,Arizona
97,Graham County,Arizona
98,Greenlee County,Arizona
99,La Paz County,Arizona
100,Maricopa County,Arizona
101,Mohave County,Arizona
102,Navajo County,Arizona
103,Pima County,Arizona
104,Pinal County,Arizona
105,Santa Cruz County,Arizona
106,Yavapai County,Arizona
107,Yuma County,Arizona
108,Arkansas County,Arkansas
109,Ashley County,Arkansas
110,Baxter County,Arkansas
111,Benton County,Arkansas
112,Boone County,Arkansas
113,Bradley County,Arkansas
114,Calhoun County,Arkansas
115,Carroll County,Arkansas
116,Chicot County,Arkansas
117,Clark County,Arkansas
118,Clay County,Arkansas
119,Cleburne County,Arkansas
120,Cleveland County,Arkansas
121,Columbia County,Arkansas
122,Conway County,Arkansas
123,Craighead County,Arkansas
124,Crawford County,Arkansas
125,Crittenden County,Arkansas
126,Cross County,Arkansas
127,Dallas County,Arkansas
128,Desha County,Arkansas
129,Drew County,Arkansas
130,Faulkner County,Arkansas
131,Franklin County,Arkansas
132,Fulton County,Arkansas
133,Garland County,Arkansas
134,Grant County,Arkansas
135,Greene County,Arkansas
136,Hempstead County,Arkansas
137,Hot Spring County,Arkansas
138,Howard County,Arkansas
139,Independence County,Arkansas
140,Izard County,Arkansas
141,Jackson County,Arkansas
142,Jefferson County,Arkansas
143,Johnson County,Arkansas
144,Lafayette County,Arkansas
145,Lawrence County,Arkansas
146,Lee County,Arkansas
147,Lincoln County,Arkansas
148,Little River County,Arkansas
149,Logan County,Arkansas
150,Lonoke County,Arkansas
151,Madison County,Arkansas
152,Marion County,Arkansas
153,Miller County,Arkansas
154,Mississippi County,Arkansas
155,Monroe County,Arkansas
156,Montgomery County,Arkansas
157,Nevada County,Arkansas
158,Newton County,Arkansas
159,Ouachita County,Arkansas
160,Perry County,Arkansas
161,Phillips County,Arkansas
162,Pike County,Arkansas
163,Poinsett County,Arkansas
164,Polk County,Arkansas
165,Pope County,Arkansas
166,Prairie County,Arkansas
167,Pulaski County,Arkansas
168,Randolph County,Arkansas
169,St. Francis County,Arkansas
170,Saline County,Arkansas
171,Scott County,Arkansas
172,Searcy County,Arkansas
173,Sebastian County,Arkansas
174,Sevier County,Arkansas
175,Sharp County,Arkansas
176,Stone County,Arkansas
177,Union County,Arkansas
178,Van Buren County,Arkansas
179,Washington County,Arkansas
180,White County,Arkansas
181,Woodruff County,Arkansas
182,Yell County,Arkansas
183,Alameda County,California
184,Alpine County,California
185,Amador County,California
186,Butte County,California
187,Calaveras County,California
188,Colusa County,California
189,Contra Costa County,California
190,Del Norte County,California
191,El Dorado County,California
192,Fresno County,California
193,Glenn County,California
194,Humboldt County,California
195,Imperial County,California
196,Inyo County,California
197,Kern County,California
198,Kings County,California
199,Lake County,California
200,Lassen County,California
201,Los Angeles County,California
202,Madera County,California
203,Marin County,California
204,Mariposa County,California
205,Mendocino County,California
206,Merced County,California
207,Modoc County,California
208,Mono County,California
209,Monterey County,California
